sr,arrival_time,departure_time,stop_id,stop_sequence,timepoint,trip_id
0,00:00:00,00:00:00,PK_S18,1,0,A1001002
1,00:00:00,00:00:00,PK_S17,2,0,A1001002
2,00:00:00,00:00:00,PK_S16,3,0,A1001002
3,00:00:00,00:00:00,PK_S15,4,0,A1001002
4,00:00:00,00:00:00,PK_S14,5,0,A1001002
5,00:00:00,00:00:00,PK_S13,6,0,A1001002
6,00:00:00,00:00:00,PK_S12,7,0,A1001002
7,00:00:00,00:00:00,PK_S11,8,0,A1001002
8,00:00:00,00:00:00,PK_S10,9,0,A1001002
9,00:00:00,00:00:00,PK_S9,10,0,A1001002
10,00:00:00,00:00:00,PK_S8,11,0,A1001002
11,00:00:00,00:00:00,PK_S7,12,0,A1001002
12,00:00:00,00:00:00,PK_S6,13,0,A1001002
13,00:00:00,00:00:00,PK_S5,14,0,A1001002
14,00:00:00,00:00:00,PK_S4,15,0,A1001002
15,00:00:00,00:00:00,PK_S3,16,0,A1001002
16,00:00:00,00:00:00,PK_S2,17,0,A1001002
17,00:00:00,00:00:00,PK_S1,18,0,A1001002
